EmployeeID,FirstName,LastName,Gender,State,City,BirthDate,HireDate,TerminationDate,Department,JobTitle,EducationLevel,PerformanceRating,Overtime,Salary,AdjustedSalary
HR00001,Rohit,Kumar,Female,Maharashtra,Nagpur,1984-03-12,2021-05-06,,Legal,Associate Counsel,Bachelor's,Good,Yes,129294,141243
HR00002,Amit,Kumar,Male,Telangana,Hyderabad,1990-01-17,2024-10-29,,Marketing,Marketing Executive,Master's,Good,Yes,42838,47593
HR00003,Aarav,Singh,Female,Delhi,Dwarka,1979-01-14,2019-09-16,,Operations,Operations Executive,Diploma,Excellent,Yes,45150,47914
HR00004,Myra,Reddy,Female,Telangana,Warangal,1986-10-29,2021-04-23,,Customer Support,Customer Support Rep,Diploma,Excellent,No,25162,26440
HR00005,Ishaan,Kulkarni,Female,Maharashtra,Pune,1988-06-23,2022-12-24,,Legal,Legal Assistant,Bachelor's,Excellent,No,52008,56258
HR00006,Ishaan,Patel,Female,Delhi,Rohini,2000-07-13,2023-02-22,,Operations,Operations Executive,Bachelor's,Satisfactory,No,53604,57410
HR00007,Vihaan,Nair,Male,West Bengal,Durgapur,1971-10-02,2022-01-23,,IT,IT Support,Bachelor's,Satisfactory,No,56875,60913
HR00008,Vihaan,Ghosh,Female,Gujarat,Ahmedabad,1979-11-18,2019-10-10,2022-08-02,IT,Software Engineer,Bachelor's,Good,No,68540,74874
HR00009,Pooja,Bhattacharya,Female,West Bengal,Howrah,1999-01-24,2022-12-27,,HR,HR Executive,Bachelor's,Needs Improvement,No,41923,44900
HR00010,Suresh,Jain,Female,Uttar Pradesh,Lucknow,1965-02-21,2022-04-30,,Customer Support,Senior Support Rep,Bachelor's,Excellent,No,45793,50516
HR00011,Aadhya,Joshi,Male,Rajasthan,Udaipur,1971-07-01,2016-03-24,,Finance,Accountant,Bachelor's,Good,No,68253,73099
HR00012,Sai,Naik,Male,Uttar Pradesh,Lucknow,1981-03-29,2022-11-08,,Operations,Operations Executive,Diploma,Good,No,52159,54266
HR00013,Myra,Nath,Male,Delhi,Dwarka,1983-05-19,2016-08-24,,Operations,Operations Executive,Bachelor's,Satisfactory,No,52971,56176
HR00014,Ritika,Rao,Male,Telangana,Hyderabad,1991-01-29,2022-12-17,,Sales,Sales Executive,Bachelor's,Excellent,Yes,35479,37625
HR00015,Krishna,Desai,Male,Maharashtra,Nagpur,1985-02-03,2023-07-25,,Customer Support,Senior Support Rep,Bachelor's,Good,No,66967,71722
HR00016,Sai,Ghosh,Male,Punjab,Amritsar,1974-09-13,2017-04-19,,R&D,Research Associate,Bachelor's,Good,No,90947,97404
HR00017,Aadhya,Bhattacharya,Female,Rajasthan,Jodhpur,1993-05-07,2018-05-16,2020-02-27,Operations,Operations Executive,Bachelor's,Good,No,42776,46271
HR00018,Amit,Chopra,Male,Telangana,Warangal,1990-10-26,2024-10-26,,Marketing,Marketing Executive,Master's,Good,No,51061,56729
HR00019,Aadhya,Nair,Female,Delhi,Dwarka,1975-02-16,2020-09-17,,IT,Tech Lead,Bachelor's,Good,No,168747,184343
HR00020,Neha,Verma,Female,Karnataka,Mysore,1986-12-15,2018-11-18,,Operations,Logistics Coordinator,Diploma,Satisfactory,Yes,73693,77437
HR00021,Aarohi,Agarwal,Female,Karnataka,Hubli,1970-09-28,2021-07-15,,Finance,Finance Analyst,Bachelor's,Satisfactory,No,64921,70921
HR00022,Ishaan,Chopra,Female,Maharashtra,Mumbai,1957-10-02,2015-12-16,,Finance,Senior Accountant,Master's,Good,No,83949,97017
HR00023,Neha,Joshi,Male,West Bengal,Kolkata,1968-03-21,2017-05-31,,Operations,Logistics Coordinator,Bachelor's,Excellent,No,82640,88507
HR00024,Diya,Sharma,Female,Uttar Pradesh,Meerut,1975-02-24,2021-04-02,,Finance,Senior Accountant,Master's,Good,Yes,141777,162255
HR00025,Kiran,Rao,Male,Uttar Pradesh,Meerut,1985-03-20,2019-11-08,,Finance,Accountant,Master's,Satisfactory,No,76793,85317
HR00026,Saanvi,Kohli,Male,Tamil Nadu,Chennai,1981-09-08,2023-11-03,,IT,Software Engineer,Master's,Excellent,Yes,93080,104436
HR00027,Aarav,Kumar,Female,West Bengal,Durgapur,1991-05-04,2022-05-03,,IT,Senior Software Engineer,Master's,Good,No,111352,126186
HR00028,Anil,Kapoor,Female,Karnataka,Bengaluru,1997-09-30,2023-09-06,,Marketing,Content Strategist,Master's,Good,Yes,73094,82832
HR00029,Neha,Patel,Female,Tamil Nadu,Tiruchirappalli,1994-05-16,2020-10-08,,Sales,Account Executive,Diploma,Satisfactory,No,80211,84286
HR00030,Kavya,Dutta,Male,Punjab,Patiala,1984-12-19,2022-04-19,,Operations,Operations Executive,Bachelor's,Excellent,No,34741,37208
HR00031,Sai,Tripathi,Male,Uttar Pradesh,Varanasi,1979-07-11,2020-12-09,,Legal,Legal Assistant,Bachelor's,Needs Improvement,No,78333,83895
HR00032,Diya,Bhattacharya,Male,Telangana,Warangal,1992-04-25,2020-03-02,,Customer Support,Customer Support Rep,Bachelor's,Good,Yes,41386,43890
HR00033,Aditya,Shah,Male,Maharashtra,Aurangabad,1980-10-28,2016-10-10,,Marketing,SEO Specialist,Master's,Needs Improvement,Yes,79058,88703
HR00034,Krishna,Sharma,Male,Karnataka,Bengaluru,1996-01-17,2022-04-28,,Marketing,Content Strategist,Bachelor's,Good,No,112910,119741
HR00035,Kiran,Shah,Male,Karnataka,Mysore,1976-09-05,2020-05-22,,R&D,Research Associate,PhD,Satisfactory,No,86727,101731
HR00036,Sai,Chopra,Male,Tamil Nadu,Tiruchirappalli,1980-07-27,2016-05-04,2023-04-03,Sales,Sales Executive,Diploma,Excellent,No,60272,62707
HR00037,Sai,Kumar,Female,Karnataka,Hubli,1966-07-30,2015-07-01,,Finance,Accountant,Master's,Good,Yes,61335,70194
HR00038,Diya,Dutta,Male,Maharashtra,Mumbai,1974-06-23,2016-02-01,,Sales,Senior Sales Executive,Bachelor's,Good,No,104620,112048
HR00039,Sunil,Dutta,Male,Karnataka,Mysore,1992-10-01,2019-04-09,,Admin,Office Assistant,Bachelor's,Good,No,17746,18820
HR00040,Diya,Patel,Female,Gujarat,Surat,1987-05-08,2022-05-23,,Admin,Admin Executive,Diploma,Good,Yes,38763,41136
HR00041,Kiran,Ghosh,Male,Karnataka,Hubli,1991-01-26,2019-10-09,,Marketing,Content Strategist,Master's,Satisfactory,No,95055,105606
HR00042,Rohit,Chopra,Female,Maharashtra,Mumbai,1996-07-27,2022-05-02,,Sales,Sales Executive,Bachelor's,Excellent,Yes,27647,29906
HR00043,Isha,Saxena,Male,Delhi,Saket,1984-07-13,2016-01-31,,Marketing,SEO Specialist,Bachelor's,Good,Yes,71877,76226
HR00044,Aarav,Iyer,Female,Uttar Pradesh,Varanasi,1966-12-23,2015-05-27,,Finance,Finance Analyst,Bachelor's,Satisfactory,No,118519,129473
HR00045,Amit,Kulkarni,Male,Telangana,Nizamabad,1990-04-08,2021-09-07,2023-05-30,IT,Software Engineer,Bachelor's,Good,No,86038,91243
HR00046,Shaurya,Reddy,Female,Maharashtra,Aurangabad,1996-06-09,2021-10-05,,Finance,Finance Analyst,Master's,Good,No,122428,138738
HR00047,Vivaan,Verma,Female,Punjab,Patiala,1960-03-21,2015-09-15,,IT,Software Engineer,Bachelor's,Satisfactory,Yes,65518,72275
HR00048,Vivaan,Bose,Male,Karnataka,Mysore,1993-12-12,2019-02-05,2020-09-15,IT,QA Engineer,Bachelor's,Satisfactory,No,100810,106909
HR00049,Kiran,Jain,Male,Gujarat,Ahmedabad,1989-10-24,2017-10-19,2024-02-13,Customer Support,Customer Support Rep,Bachelor's,Satisfactory,No,35330,37467
HR00050,Pooja,Verma,Female,Punjab,Chandigarh,1981-10-26,2023-08-03,,Customer Support,Customer Support Rep,Bachelor's,Good,No,49691,54283
HR00051,Tara,Bose,Female,West Bengal,Durgapur,1978-06-10,2022-04-15,,R&D,Research Associate,Bachelor's,Satisfactory,No,35704,39004
HR00052,Krishna,Joshi,Male,Gujarat,Surat,1983-08-23,2024-12-09,,IT,Software Engineer,Master's,Good,No,75876,85133
HR00053,Ananya,Ghosh,Female,Karnataka,Bengaluru,1973-10-16,2022-08-23,2024-01-17,Sales,Sales Manager,Diploma,Satisfactory,Yes,144386,153224
HR00054,Vihaan,Singh,Female,Telangana,Hyderabad,1994-03-09,2023-09-17,,HR,HR Executive,Bachelor's,Excellent,Yes,75691,81876
HR00055,Ritika,Nair,Male,Karnataka,Mysore,1982-03-22,2022-07-09,,IT,Software Engineer,Bachelor's,Satisfactory,No,46508,49810
HR00056,Diya,Desai,Female,Telangana,Nizamabad,1980-11-30,2020-06-03,,Admin,Office Assistant,Bachelor's,Needs Improvement,No,41368,45191
HR00057,Kavya,Sharma,Female,Telangana,Warangal,1993-03-10,2021-12-06,,IT,DevOps Engineer,Bachelor's,Needs Improvement,Yes,104336,112861
HR00058,Ishaan,Kumar,Female,Karnataka,Mysore,1987-11-06,2017-05-20,,Operations,Operations Executive,Bachelor's,Satisfactory,No,57085,61749
HR00059,Sai,Tripathi,Male,West Bengal,Howrah,1982-05-16,2023-12-18,,Sales,Sales Executive,Bachelor's,Needs Improvement,Yes,88042,94293
HR00060,Kavya,Saxena,Female,Uttar Pradesh,Lucknow,1981-08-05,2024-02-17,,R&D,Research Associate,Bachelor's,Good,No,69001,75378
HR00061,Pavan,Joshi,Male,Maharashtra,Mumbai,1991-11-23,2021-06-20,,Marketing,SEO Specialist,Master's,Needs Improvement,Yes,58882,65418
HR00062,Ishaan,Gupta,Male,Rajasthan,Bikaner,1998-02-27,2021-10-15,,R&D,Research Associate,Bachelor's,Good,No,57968,60866
HR00063,Aditya,Bhattacharya,Male,Tamil Nadu,Chennai,1993-08-09,2024-07-08,,IT,IT Support,Bachelor's,Good,No,52552,55731
HR00064,Arjun,Verma,Male,Uttar Pradesh,Agra,1978-04-18,2022-01-21,,IT,QA Engineer,Master's,Satisfactory,No,66368,74465
HR00065,Suresh,Jain,Male,Karnataka,Mangalore,1981-11-14,2015-10-14,,Customer Support,Customer Support Rep,Diploma,Satisfactory,No,24318,25052
HR00066,Amit,Patel,Male,Delhi,Dwarka,1975-01-13,2023-04-01,,Operations,Logistics Coordinator,Diploma,Good,No,46404,48279
